,18219,2016-01-26T07:35:34.000+02:00,DATA,7229,0,0.1,1,0.000976,2016-01
12710949,827919,2016-02-17T04:44:43.000+02:00,DATA,16538,0,0,542,0.041992,2016-02
21463275,467619,2016-03-25T02:43:29.000+02:00,DATA,22463,0,0,0,0.000976,2016-03
6762380,1513809,2016-01-11T08:46:26.000+02:00,DATA,26010,0,0,0,0.000976,2016-01
12325960,1488709,2016-02-07T00:53:40.000+02:00,SMS,20278,1,0,1,0.0,2016-02
491263,1092319,2016-01-22T21:46:09.000+02:00,SMS,20884,1,0,1,0.0,2016-01
13419401,169619,2016-02-17T19:42:22.000+02:00,VOICE,32397,1,1,24,0.0,2016-02
7361472,1648909,2016-02-07T13:18:42.000+02:00,DATA,31646,0,0,6329,5.047849,2016-02
21896775,1176719,2016-03-20T19:21:57.000+02:00,VOICE,42526,44,0,0,0.0,2016-03
7777005,1814909,2016-02-18T10:41:47.000+02:00,VOICE,26418,1,0,11,0.0,2016-02
10999060,306209,2016-02-22T09:14:32.000+02:00,SMS,4577,1,0,1,0.0,2016-02
22041854,1533909,2016-03-19T08:27:37.000+02:00,VOICE,25889,44,0,365,0.0,2016-03
3322213,1541019,2016-01-23T14:36:05.000+02:00,DATA,25890,0,0,1803,0.010742,2016-01
4770260,1650309,2016-01-24T15:36:33.000+02:00,DATA,27940,0,0,1,0.009765,2016-01
5700491,1800709,2016-01-15T08:12:15.000+02:00,VOICE,28475,44,0,102,0.0,2016-01
13389290,1008409,2016-02-03T06:04:34.000+02:00,VOICE,6695,1,0,10,0.0,2016-02
12948124,1380009,2016-02-26T11:40:42.000+02:00,VOICE,23381,1,0,3,0.0,2016-02
16965533,1931709,2016-03-04T19:19:29.000+02:00,VOICE,25002,40,0,34,0.0,2016-03
13588878,1751109,2016-02-18T18:49:57.000+02:00,VOICE,1293,1,1,4,0.0,2016-02
13925591,785309,2016-02-08T18:16:57.000+02:00,VOICE,39528,1,0,106,0.0,2016-02
17522647,1836119,2016-03-11T20:29:59.000+02:00,VOICE,26510,1,1,2,0.0,2016-03
17189865,715109,2016-03-12T18:19:07.000+02:00,VOICE,19651,1,0,536,0.0,2016-03
4342513,566719,2016-01-30T12:21:59.000+02:00,DATA,28473,0,0,2,0.013671,2016-01
6991326,1443509,2016-01-19T18:28:56.000+02:00,SMS,31626,1,0,1,0.0,2016-01
11978592,1087119,2016-02-01T22:19:19.000+02:00,VOICE,4134,1,0,3,0.0,2016-02
21267542,157109,2016-03-11T17:44:54.000+02:00,DATA,26201,0,0,39,0.074217,2016-03
16619661,949919,2016-03-26T11:15:40.000+02:00,SMS,9146,1,0,1,0.0,2016-03
21616617,572709,2016-03-09T14:16:46.000+02:00,VOICE,31398,185,0,7,0.0,2016-03
3969343,1305419,2016-01-26T13:15:00.000+02:00,SMS,32962,1,1,1,0.0,2016-01
20712982,704109,2016-03-17T10:09:05.000+02:00,DATA,31626,0,0,8378,0.98828,2016-03
10855737,226909,2016-02-10T11:28:59.000+02:00,VOICE,38449,185,0,449,0.0,2016-02
5966337,1088019,2016-01-27T11:11:01.000+02:00,VOICE,1251,46,0,21,0.0,2016-01
17101116,1475919,2016-03-09T12:26:07.000+02:00,VOICE,17797,1,0,7,0.0,2016-03
4389073,1073119,2016-01-19T08:53:26.000+02:00,SMS,24187,12,1,1,0.0,2016-01
6349528,1162809,2016-01-30T17:28:56.000+02:00,DATA,33890,0,0,3422,0.170896,2016-01
19566570,654309,2016-03-15T22:28:24.000+02:00,DATA,8889,0,0,2514,9.5,2016-03
13496953,1244519,2016-02-25T06:01:32.000+02:00,DATA,38055,0,0,3029,35.253887,2016-02
19743262,1820419,2016-03-23T17:13:44.000+02:00,VOICE,31398,1,1,18,0.0,2016-03
20463509,1201009,2016-03-11T19:35:33.000+02:00,VOICE,35629,1,1,146,0.0,2016-03
8226105,937419,2016-02-27T20:33:13.000+02:00,VOICE,31478,1,1,31,0.0,2016-02
9613827,1643019,2016-02-17T17:34:43.000+02:00,DATA,36056,0,0,2910,5.000975,2016-02
18799556,513509,2016-03-21T11:37:22.000+02:00,VOICE,12293,1,0,115,0.0,2016-03
2435864,733209,2016-01-11T21:50:36.000+02:00,VOICE,20482,1,0,5,0.0,2016-01
12952049,1640019,2016-02-26T18:22:03.000+02:00,SMS,18998,1,1,1,0.0,2016-02
6421547,936209,2016-01-26T18:38:09.000+02:00,DATA,22528,0,0,1242,0.001953,2016-01
8866842,1274319,2016-02-05T15:09:37.000+02:00,VOICE,36330,27,0,691,0.0,2016-02
11438701,533709,2016-02-09T18:04:31.000+02:00,DATA,23826,0,0,4508,0.795894,2016-02
12546931,795919,2016-02-10T09:50:29.000+02:00,DATA,23381,0,0,1934,3.665039,2016-02
619817,370019,2016-01-15T18:56:53.000+02:00,VOICE,25983,1,0,4,0.0,2016-01
19267599,426919,2016-03-19T20:19:16.000+02:00,VOICE,31537,1,0,3481,0.0,2016-03
18836544,860719,2016-03-16T04:03:42.000+02:00,DATA,23607,0,0,275,0.006835,2016-03
6959129,1642719,2016-01-02T12:10:56.000+02:00,VOICE,32362,1,1,65,0.0,2016-01
3530466,1652609,2016-01-02T17:08:56.000+02:00,VOICE,30713,1,0,773,0.0,2016-01
931287,369709,2016-01-25T19:03:33.000+02:00,DATA,13079,0,0,34,0.088866,2016-01
14493575,1729209,2016-03-27T17:01:34.000+03:00,DATA,9547,0,0,1320,0.096674,2016-03
7144730,1839819,2016-02-19T22:13:03.000+02:00,DATA,12867,0,0,0,0.000976,2016-02
13106841,1581319,2016-02-28T18:52:16.000+02:00,VOICE,25889,1,0,148,0.0,2016-02
11085416,1672919,2016-02-12T16:04:11.000+02:00,VOICE,11422,1,1,36,0.0,2016-02
2098198,1776419,2016-01-27T10:23:13.000+02:00,DATA,20134,0,0,3269,0.097656,2016-01
10073865,950509,2016-02-13T13:29:03.000+02:00,SMS,19608,1,1,1,0.0,2016-02
10403523,1375309,2016-02-19T23:32:32.000+02:00,SMS,10746,1,0,1,0.0,2016-02
19549159,1702219,2016-03-22T12:08:22.000+02:00,SMS,12424,1,1,1,0.0,2016-03
21185662,1152819,2016-03-23T10:38:26.000+02:00,VOICE,17504,1,0,299,0.0,2016-03
9891197,625609,2016-02-05T13:37:20.000+02:00,VOICE,25891,34,0,39,0.0,2016-02
21597540,1282009,2016-03-06T03:30:29.000+02:00,DATA,22186,0,0,3778,0.007812,2016-03
5849243,1085119,2016-01-20T17:50:25.000+02:00,VOICE,14864,1,1,50,0.0,2016-01
16071589,1861819,2016-03-07T17:35:31.000+02:00,SMS,13336,2,1,1,0.0,2016-03
12020902,707119,2016-02-19T12:07:23.000+02:00,VOICE,3621,1,0,21,0.0,2016-02
2966152,1422819,2016-01-23T15:42:35.000+02:00,VOICE,8898,1,1,70,0.0,2016-01
18031904,1291819,2016-03-11T20:01:17.000+02:00,VOICE,24935,1,1,27,0.0,2016-03
8826634,515519,2016-02-06T02:11:41.000+02:00,DATA,21157,0,0,1,0.001952,2016-02
